,Ti,Al,Mn,Nb,Cr,Mo,V,Zr,Hf,O,Ta,Si,W,C,B,Fe,Ru,Ni,Y,Re,TestT,logYS,logTS,logEl,logHV,logCost
67,49.6,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0,0.0,0.0,923,2.88930170250631,3.006466042249232,0.143014800254095,,0.7107767937617363
68,49.6,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0,0.0,0.0,296,2.98,2.942008053022313,-1.0,,0.7107767937617363
69,49.6,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0,0.0,0.0,923,2.90848501887865,2.984077033902831,-0.0506099933550872,,0.7107767937617363
70,49.0,47.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.7,2.77,0.1899999976158142,,0.5908916155695725
71,48.0,44.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.79,2.793790384690819,-0.5,,0.5882285089871051
72,48.0,44.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.795184589682424,2.8208579894397,-0.3979400086720376,,0.5882285089871051
73,48.0,44.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.84,2.74350976472843,-0.38999998569488525,,1.00299515244425
74,48.0,44.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.836324115706752,2.853089529851866,-0.3979400086720376,,1.00299515244425
75,47.8,44.0,0.0,4.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.829946695941636,2.842609239610562,-0.5228787452803376,,0.7410019140974823
76,47.8,44.0,0.0,4.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.800717078282385,2.848804701051804,-0.1549019599857432,,0.7410019140974823
77,47.8,44.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.836324115706752,2.843855422623161,-0.6989700043360187,,1.459185658703545
